,neuron,score
119N,119N,0.6708716927679765
146N,146N,0.6587198948752558
381N,381N,0.6204192235883872
105N,105N,0.5815130977715228
76N,76N,0.5773453577054933
396N,396N,0.551231859869066
30N,30N,0.5454897423456044
382N,382N,0.544028991235483
273N,273N,0.5373342788758237
157N,157N,0.5349668992187344
230N,230N,0.5290640449212636
461N,461N,0.5244287038570925
128N,128N,0.522840381264929
153N,153N,0.5212345396125478
118N,118N,0.5101765576639419
70N,70N,0.5078019532097718
132N,132N,0.5077022551426963
343N,343N,0.5020933205198934
250N,250N,0.5000187904925862
390N,390N,0.4858051382994423
92N,92N,0.48571972283570297
197N,197N,0.4822334653093781
136N,136N,0.4738773346394517
246N,246N,0.46948133284425064
38N,38N,0.46692275912203135
404N,404N,0.4667199637969451
375N,375N,0.4591871533149536
123N,123N,0.45899102309813017
226N,226N,0.45643138906842257
139N,139N,0.4496750108068738
170N,170N,0.449328457621413
222N,222N,0.44206597042126533
231N,231N,0.44012039640373424
566N,566N,0.4357103812166742
556N,556N,0.4347935995551565
14N,14N,0.4344402811708956
315N,315N,0.4336263241852346
362N,362N,0.42234455976022406
192N,192N,0.4199149577199935
377N,377N,0.41946695427475134
110N,110N,0.4183236211598326
329N,329N,0.4167050612998647
143N,143N,0.41489406252595334
107N,107N,0.41211601918549984
171N,171N,0.40651077788386974
574N,574N,0.40124577312646514
40N,40N,0.4000434383220332
295N,295N,0.3998326170342459
148N,148N,0.3984222197331732
188N,188N,0.3974340929904613
281N,281N,0.39362335239811286
213N,213N,0.3933298610744222
284N,284N,0.3929064507653627
200N,200N,0.3920981427863213
454N,454N,0.390545743696886
452N,452N,0.39042402748467364
583N,583N,0.39004158338382455
278N,278N,0.38957347678111254
427N,427N,0.38600683841880334
384N,384N,0.3828968015758794
163N,163N,0.3810898065566989
10N,10N,0.38030752339083823
386N,386N,0.37975876680252363
98N,98N,0.37914265021744203
361N,361N,0.37901267637824976
151N,151N,0.3785249649291361
108N,108N,0.37746305746176984
356N,356N,0.3754633991143957
232N,232N,0.37158866659485756
11N,11N,0.3713058248283509
147N,147N,0.37090463088432757
298N,298N,0.3674941242565689
321N,321N,0.3664759574982013
199N,199N,0.36419478072268224
423N,423N,0.36103497091194076
263N,263N,0.35959203083849534
182N,182N,0.357869593596367
169N,169N,0.35757568537417106
394N,394N,0.35551301417147174
559N,559N,0.35537705997600666
269N,269N,0.3530668558110926
211N,211N,0.35303257719168096
388N,388N,0.35285409053509953
215N,215N,0.35141068025921646
299N,299N,0.35056127080641203
74N,74N,0.35053881909486917
164N,164N,0.34976294802145697
53N,53N,0.3496067648770704
478N,478N,0.34739768045582
403N,403N,0.34603593382644166
389N,389N,0.34302537424304524
179N,179N,0.33748591140852835
301N,301N,0.33728760423921283
69N,69N,0.33675572643881474
75N,75N,0.33584481558335855
91N,91N,0.3339348767939075
135N,135N,0.33160614751671785
149N,149N,0.3315258861981751
272N,272N,0.32998715834129716
154N,154N,0.32833857923459475
103N,103N,0.32810031187650274
78N,78N,0.3276733845894359
399N,399N,0.32766596224280875
72N,72N,0.3268317608156003
94N,94N,0.3253327667553091
408N,408N,0.3245952522210607
313N,313N,0.3239395697359301
303N,303N,0.32278840384007695
225N,225N,0.32273034595230543
125N,125N,0.3222914202290393
438N,438N,0.3215462491860466
67N,67N,0.31949516690628127
6N,6N,0.31932949503415275
24N,24N,0.31898986409314595
238N,238N,0.3188891484307867
61N,61N,0.31877334788263684
491N,491N,0.31839548762883185
338N,338N,0.31795081677346
127N,127N,0.31775225997468326
413N,413N,0.31744014119093344
141N,141N,0.3160901321934096
419N,419N,0.3155987194195937
317N,317N,0.31431806720823763
48N,48N,0.3132003097001994
218N,218N,0.31151617080211225
424N,424N,0.3110266728365585
290N,290N,0.31018019077712056
176N,176N,0.30998394054464334
229N,229N,0.30887632306917356
12N,12N,0.3085945943025494
183N,183N,0.3084210551258273
495N,495N,0.3081579804815543
320N,320N,0.307121913322298
533N,533N,0.3070805612419901
402N,402N,0.30582277638496197
501N,501N,0.3055577652704746
565N,565N,0.30440606562985223
302N,302N,0.30395596666171165
89N,89N,0.3035264446178731
210N,210N,0.3032851851697787
88N,88N,0.3017234487417502
162N,162N,0.30165878771651483
224N,224N,0.30131178874868814
418N,418N,0.3011453454991547
104N,104N,0.3002268605764585
297N,297N,0.299965153358107
577N,577N,0.29927943357878084
392N,392N,0.298394870164242
270N,270N,0.29779884260291273
186N,186N,0.29512794048294927
80N,80N,0.29507117875069067
489N,489N,0.29465901075996725
285N,285N,0.2943036468032543
203N,203N,0.29406773277959697
208N,208N,0.29301190077528005
531N,531N,0.2928556699206943
341N,341N,0.2925153019581564
219N,219N,0.29163820440376287
335N,335N,0.2908561641986797
429N,429N,0.2902395409661697
177N,177N,0.2899176620387014
159N,159N,0.289738185099546
239N,239N,0.2892503307340324
112N,112N,0.2888561419060979
417N,417N,0.2882985005835205
95N,95N,0.2878877059868129
248N,248N,0.28714451643095207
490N,490N,0.28574513113565253
15N,15N,0.28572875079782556
44N,44N,0.2846281862244462
460N,460N,0.2830557239225356
116N,116N,0.2823770273149586
155N,155N,0.2819839221046206
570N,570N,0.28179243770695356
274N,274N,0.28067758466602977
457N,457N,0.28060531381581216
268N,268N,0.28028714177312325
101N,101N,0.27967630213939215
455N,455N,0.2793327709211141
584N,584N,0.2790372423178145
376N,376N,0.27806582836211374
29N,29N,0.2773197381111989
518N,518N,0.2772066443745691
280N,280N,0.2763286941873854
184N,184N,0.27600792910584376
544N,544N,0.2758462012834155
36N,36N,0.2754966893348431
165N,165N,0.27545740339894104
17N,17N,0.27510759135448365
205N,205N,0.27419050672674533
481N,481N,0.2741051201404006
506N,506N,0.2722504353566055
415N,415N,0.2720627951768757
276N,276N,0.2718548054751853
240N,240N,0.27136790856667337
181N,181N,0.2711066358551774
1N,1N,0.2705043635861758
517N,517N,0.2705030666955952
319N,319N,0.2704629912303207
371N,371N,0.2704342419728511
255N,255N,0.2703343122426446
212N,212N,0.27019981280795674
380N,380N,0.26951862533601856
65N,65N,0.26828294466988556
4N,4N,0.2673285934972473
243N,243N,0.2673069202418048
3N,3N,0.26548524083452035
471N,471N,0.2653851502165879
189N,189N,0.2643621423881318
45N,45N,0.2636139082776048
525N,525N,0.2628699254944238
354N,354N,0.2626211237273114
28N,28N,0.2622150113404414
124N,124N,0.26171970243421233
355N,355N,0.26141957780983544
140N,140N,0.26138354066390646
150N,150N,0.26115216589822243
505N,505N,0.26030731792059203
84N,84N,0.25972721011242095
253N,253N,0.25957954689499046
277N,277N,0.25946317101720723
411N,411N,0.25884028185788466
353N,353N,0.2584290775495419
488N,488N,0.2577005340196322
374N,374N,0.25734742819882894
439N,439N,0.2571100287524029
553N,553N,0.2569426415779701
494N,494N,0.25643460182665445
233N,233N,0.25639217264005226
311N,311N,0.255866583085669
33N,33N,0.25466701003002074
497N,497N,0.2543127693649009
283N,283N,0.25389922189146447
79N,79N,0.25351306688318626
193N,193N,0.2530509180263033
252N,252N,0.2529909121637011
244N,244N,0.2529802018497334
546N,546N,0.24969298221523223
585N,585N,0.2493554337772213
573N,573N,0.2493282382337315
360N,360N,0.24902258902452507
292N,292N,0.2489297730402747
81N,81N,0.24737844800981998
58N,58N,0.24723361881471725
347N,347N,0.24720711511584126
554N,554N,0.2466908804466717
9N,9N,0.24603380169935177
144N,144N,0.2453588725297948
364N,364N,0.24528313002652102
440N,440N,0.24521004222466203
516N,516N,0.2446595278422439
131N,131N,0.24346602855163052
463N,463N,0.243144277394484
32N,32N,0.24287801003464782
59N,59N,0.2413543102201941
26N,26N,0.24133361446158524
68N,68N,0.24107387548238918
582N,582N,0.23998356309544067
52N,52N,0.2396794342100661
493N,493N,0.2387117835414202
265N,265N,0.23851843326123098
425N,425N,0.23845141842817513
300N,300N,0.23844445296970446
485N,485N,0.23833201576703206
56N,56N,0.2377907067699987
117N,117N,0.23621754760511204
387N,387N,0.23603201159706716
345N,345N,0.2357453166397209
185N,185N,0.234634819367134
35N,35N,0.2345626587941421
47N,47N,0.23389440681213408
237N,237N,0.23366220181351147
51N,51N,0.23346699776816077
339N,339N,0.23336350979191975
22N,22N,0.23314751022369765
85N,85N,0.23287213388932163
130N,130N,0.23139003953857185
49N,49N,0.23098966106228785
113N,113N,0.230941549111932
500N,500N,0.23061622722419547
261N,261N,0.23036094441919056
477N,477N,0.23010921281688362
449N,449N,0.22992302485617783
289N,289N,0.22967717994989093
434N,434N,0.22944630588520562
395N,395N,0.22913476312226297
264N,264N,0.2289464177621745
370N,370N,0.22770457003290995
351N,351N,0.2276802970136592
409N,409N,0.22757974423832103
187N,187N,0.22727515211686689
447N,447N,0.22725938885151786
337N,337N,0.2272465815334928
13N,13N,0.22695438898714237
430N,430N,0.22677404568747375
23N,23N,0.22657500554590146
475N,475N,0.22642338524157524
443N,443N,0.2264223824303883
282N,282N,0.22608789002616828
383N,383N,0.22576922880763114
43N,43N,0.2254855876410691
368N,368N,0.2252983993478504
286N,286N,0.2243790283114958
266N,266N,0.22310130455770674
316N,316N,0.2228347597515791
314N,314N,0.22258706932595637
41N,41N,0.22250178572578985
323N,323N,0.2219401916988423
260N,260N,0.2210988400804804
550N,550N,0.22062920286163512
57N,57N,0.22053091037150055
543N,543N,0.22011949131870312
190N,190N,0.21984397191586982
194N,194N,0.21949365752675498
561N,561N,0.21901536336860605
450N,450N,0.21894921252426702
217N,217N,0.21863867712950716
579N,579N,0.2185975403226646
480N,480N,0.21841667826949088
90N,90N,0.21834200668159154
325N,325N,0.21679182653212778
172N,172N,0.21665768947072078
520N,520N,0.21638575838254254
393N,393N,0.21614737103090173
7N,7N,0.21608339279757438
558N,558N,0.21604148542372067
50N,50N,0.2155836269464257
86N,86N,0.21526640386278587
216N,216N,0.21501504442436295
77N,77N,0.2149574979169186
555N,555N,0.21493676055399855
572N,572N,0.2145511559669465
138N,138N,0.21369161203501816
195N,195N,0.21361261558275108
407N,407N,0.21344139767667375
589N,589N,0.21276072059181
27N,27N,0.2120107943913068
241N,241N,0.2116656816129686
